timestamp_ns,传感器类型,ax(m/s²),ay(m/s²),az(m/s²),纬度,经度,速度(m/s),航向角(°),gx(rad/s),gy(rad/s),gz(rad/s)
345515789221175,陀螺仪,,,,,,,,0.4892,0.2691,1.9191
345515799230498,加速度计,0.0311,4.1312,9.4427,,,,,,,
345515809249560,加速度计,0.3980,4.1079,8.5796,,,,,,,
345515809259613,陀螺仪,,,,,,,,0.4137,0.1450,1.9421
345515819269300,加速度计,0.2334,4.1186,7.4921,,,,,,,
345515829285967,加速度计,0.3232,4.2030,6.9695,,,,,,,
345515829294352,陀螺仪,,,,,,,,0.1250,0.1668,2.0609
345515839302633,加速度计,0.3508,4.6519,7.4609,,,,,,,
345515849319300,加速度计,0.5016,5.2882,8.3282,,,,,,,
345515849327685,陀螺仪,,,,,,,,-0.0513,0.7153,2.1885
345515859335967,加速度计,0.7225,5.5510,9.1405,,,,,,,
345515869352790,加速度计,0.6021,5.0793,9.5397,,,,,,,
345515869361383,陀螺仪,,,,,,,,0.1535,0.9121,2.2810
345515879370029,加速度计,0.3124,4.4371,9.5307,,,,,,,
345515889387685,加速度计,0.2215,3.9558,9.4272,,,,,,,
345515889396696,陀螺仪,,,,,,,,0.4561,0.0762,2.5709
345515899405758,加速度计,0.0760,3.5548,9.1578,,,,,,,
345515909424248,加速度计,0.2825,3.4123,8.3737,,,,,,,
345515909433675,陀螺仪,,,,,,,,0.6930,-0.3261,2.9014
345515919443154,加速度计,0.4040,3.6272,7.9499,,,,,,,
345515929462477,加速度计,0.6207,3.8559,7.9751,,,,,,,
345515929472321,陀螺仪,,,,,,,,0.5952,-0.0293,3.0384
345515939482217,加速度计,0.7787,3.9630,8.6395,,,,,,,
345515949502217,加速度计,0.5782,3.8792,8.4384,,,,,,,
345515949512269,陀螺仪,,,,,,,,0.5618,-0.0744,2.8568
345515959522217,加速度计,0.8996,3.3597,8.4539,,,,,,,
345515969542217,加速度计,0.8224,2.6342,8.5617,,,,,,,
345515969552269,陀螺仪,,,,,,,,0.5735,0.1035,2.6814
345515979562217,加速度计,1.0229,1.8268,8.4821,,,,,,,
345515989582217,加速度计,1.2073,1.1552,8.6604,,,,,,,
345515989592269,陀螺仪,,,,,,,,0.6699,0.4740,2.5835
345515999602217,加速度计,1.7328,0.7476,9.5864,,,,,,,
345516009622217,加速度计,1.8166,0.6458,10.7996,,,,,,,
345516009632269,陀螺仪,,,,,,,,0.9972,0.8326,2.3243
345516019642217,加速度计,2.0596,0.6602,11.8866,,,,,,,
345516029671540,陀螺仪,,,,,,,,1.7052,0.2719,1.9998
345516029661904,加速度计,2.0363,0.9679,12.3421,,,,,,,
345516039680915,加速度计,1.6305,1.4359,11.7501,,,,,,,
345516049699665,加速度计,2.2697,1.5927,10.9343,,,,,,,
345516049709092,陀螺仪,,,,,,,,2.3689,-0.8052,1.8899
345516059720133,加速度计,1.9028,1.5862,9.6857,,,,,,,
345516069746279,加速度计,1.2276,1.2360,7.9272,,,,,,,
345516069748415,陀螺仪,,,,,,,,2.4962,-0.8385,2.0193
345516079750602,加速度计,2.9090,1.5718,8.1020,,,,,,,
345516089756279,加速度计,1.8405,2.0010,8.4234,,,,,,,
345516089764456,陀螺仪,,,,,,,,2.0733,0.1747,1.9280
345516099782790,加速度计,0.8805,1.8088,7.5363,,,,,,,
345516109812477,加速度计,3.0341,2.8539,9.3152,,,,,,,
345516109821904,陀螺仪,,,,,,,,1.4976,0.6087,1.6533
345516119831227,加速度计,1.6310,2.8096,9.3278,,,,,,,
345516129849977,加速度计,1.4922,2.3140,8.6485,,,,,,,
345516129859404,陀螺仪,,,,,,,,1.1188,0.4903,1.2006
345516139868727,加速度计,2.0794,2.6935,8.7263,,,,,,,
345516149887477,加速度计,1.7579,3.1202,9.3224,,,,,,,
345516149896904,陀螺仪,,,,,,,,0.6105,0.5001,0.8726
345516159906227,加速度计,1.6293,3.4411,9.0782,,,,,,,
345516169924977,加速度计,1.7705,3.5398,8.9621,,,,,,,
345516169934404,陀螺仪,,,,,,,,0.2091,0.4839,0.6221
345516179943727,加速度计,1.8196,3.6937,9.2476,,,,,,,
345516189962477,加速度计,1.9704,3.9145,9.5493,,,,,,,
345516189971904,陀螺仪,,,,,,,,-0.0811,0.5329,0.4057
345516199981227,加速度计,1.9788,4.0336,9.5666,,,,,,,
345516209999977,加速度计,1.9638,4.0672,9.5553,,,,,,,
345516210009404,陀螺仪,,,,,,,,-0.1438,0.4601,0.2858
345516220018727,加速度计,2.0423,3.9301,9.5247,,,,,,,
345516230037477,加速度计,2.1877,3.7948,9.6235,,,,,,,
345516230046904,陀螺仪,,,,,,,,-0.0286,0.4810,0.3055
345516240056227,加速度计,2.2853,3.6314,9.8414,,,,,,,
345516250074977,加速度计,2.4199,3.5919,10.1867,,,,,,,
345516250084404,陀螺仪,,,,,,,,0.2579,0.5956,0.3872
345516260093727,加速度计,2.4062,3.8762,10.6895,,,,,,,
345516270112477,加速度计,2.4379,4.1486,10.8439,,,,,,,
345516270121904,陀螺仪,,,,,,,,0.7008,0.2143,0.4451
345516280131227,加速度计,2.3750,4.3706,10.4764,,,,,,,
345516290149977,加速度计,2.3529,4.7142,9.7480,,,,,,,
345516290159404,陀螺仪,,,,,,,,1.0879,-0.2676,0.5052
345516300168727,加速度计,2.1117,4.9422,9.0279,,,,,,,
345516310187477,加速度计,2.1979,5.0494,8.5036,,,,,,,
345516310196904,陀螺仪,,,,,,,,1.1464,-0.3064,0.6229
345516320206227,加速度计,1.8046,4.9554,8.1151,,,,,,,
